,network,streaming,imdb,mentions,score
Ella,VTM,N/A,tt1688211,5,21
Trop,,ICI Tou.tv,tt8267548,5,21
The Writer,MBC Drama,N/A,tt10312958,5,21
Westworld,HBO,N/A,tt0475784,5,20
Spy,KBS2,N/A,tt4339300,5,20
Jes,VTM,N/A,tt1395461,5,19
The Premise,,Hulu,tt10731840,5,18
Critical,Sky Showcase,N/A,tt3502470,5,17
Thea,ABC,N/A,tt0106151,5,16
Under the Banner of Heaven,,Hulu,tt1998372,5,15
Eyes,ABC,N/A,tt0419323,5,13
Legion,FX,N/A,tt5114356,5,13
Station Eleven,,HBO Max,tt10574236,5,13
Gran,BBC One,N/A,tt0435959,5,10
Mare of Easttown,HBO,N/A,tt10155688,5,10
Line of Duty,BBC One,N/A,tt2303687,5,9
Harley Quinn,,HBO Max,tt7658402,5,8
The One,,Netflix,tt13879466,5,8
Genius,National Geographic Channel,N/A,tt5673782,4,70
Harmon,Reshet 13,N/A,tt7930816,4,68
Radar,NPO 1,N/A,tt1190087,4,62
Dope,,Netflix,tt7782022,4,43
Dopesick,,Hulu,tt9174558,4,43
Beat,,Prime Video,tt7095194,4,37
The Building,CBS,N/A,tt0105964,4,34
Only Murders in the Building,,Hulu,tt12851524,4,34
The Americans,NBC,N/A,tt0054515,4,32
Released,Oprah Winfrey Network,N/A,tt8343746,4,31
Threads,,go90,tt7149818,4,31
The Following,FOX,N/A,tt2071645,4,29
Friends,ABC,N/A,tt0078615,4,29
Slow Burn,EPIX,N/A,tt11474458,4,26
The Boys,,Prime Video,tt1190634,4,24
Cheers,Telecinco,N/A,tt2006371,4,23
Cheer,,Netflix,tt11426660,4,23
Bang,S4C,N/A,tt7194490,4,23
Bigger,,BET+,tt10525048,4,23
Extra,Syndication,N/A,tt0247094,4,22
Return,SBS,N/A,tt7825618,4,22
Extraordinary Attorney Woo,ENA,N/A,tt20869502,4,22
Hannibal,NBC,N/A,tt2243973,4,19
Deadwood,HBO,N/A,tt0348914,4,18
The Deuce,HBO,N/A,tt4998350,4,17
Martin,FOX,N/A,tt0103488,4,17
Flag,Sky PerfecTV,N/A,tt0874001,4,17
Lore,,Prime Video,tt6130902,4,17
Blood,Virgin Media One,N/A,tt8991526,4,16
Popular,The WB,N/A,tt0202748,4,16
Physical,,Apple TV+,tt11828492,4,16
Castle,ABC,N/A,tt1219024,4,15
1883,,Paramount+,tt13991232,4,15
Veep,HBO,N/A,tt1759761,4,14
Agent,,Netflix,tt7678910,4,14
Ben,La Une,N/A,tt6903852,4,14
Narcos,,Netflix,tt2707408,4,13
The Movies,CNN,N/A,tt10468676,4,13
Person of Interest,CBS,N/A,tt1839578,4,12
The House,,Netflix,tt11703050,4,12
Human,,Disney+ Hotstar,tt15128088,4,12
24,Colors,N/A,tt2792284,4,11
Broadchurch,ITV,N/A,tt2249364,4,11
The Prisoner,AMC,N/A,tt1043714,4,11
Prisoner,Network 10,N/A,tt0077064,4,11
STEVE,Syndication,N/A,tt2380710,4,11
Brot,Ríkisútvarpið,N/A,tt9100822,4,11
Mr. Robot,USA Network,N/A,tt4158110,4,10
Doubt,CBS,N/A,tt4447390,4,10
Out There,IFC,N/A,tt2377271,4,10
Grand,NBC,N/A,tt0098809,4,10
Access,C8,N/A,tt8139156,4,10
Midnight Mass,,Netflix,tt10574558,4,9
Echo,,Disney+,tt13966962,4,9
Altered Carbon,,Netflix,tt2261227,4,8
Bodyguard,BBC One,N/A,tt7493974,4,8
Problems,ABC,N/A,tt2431900,4,7
With You,,iQIYI,tt7049444,4,7
Universe,BBC Two,N/A,tt15757074,4,6
Oz,HBO,N/A,tt0118421,4,3
Luck,HBO,N/A,tt1578887,4,1
Dude,,JioCinema,tt14136452,4,1
Impossible,BBC One,N/A,tt6374632,3,126
Holy Shit,,Prime Video,tt4907284,3,69
Minder,Channel 5,N/A,tt1285075,3,52
BIA,Disney Channel,N/A,tt9168904,3,31
The Game,,Paramount+,tt4057998,3,27
Paper Girls,,Prime Video,tt10623646,3,26
Regret,,Shahid,tt8470384,3,24
David,TNT,N/A,tt0118933,3,21
Black Comedy,ABC,N/A,tt3697996,3,20
Younger,,Paramount+,tt3288518,3,19
Flo,CBS,N/A,tt0080216,3,19
Wild Ride,MTV,N/A,tt11657016,3,19
Castlevania,,Netflix,tt6517102,3,19
Slow Horses,,Apple TV+,tt5875444,3,19
Maggie,,Hulu,tt13944138,3,19
Silicon Valley,HBO,N/A,tt2575988,3,18
Icon,Hallmark Channel,N/A,tt0424176,3,18
The Critic,FOX,N/A,tt0108734,3,17
Hunter,CBS,N/A,tt0075517,3,17
Big Fan,ABC,N/A,tt6391108,3,17
Bizarre,CTV,N/A,tt0080200,3,17
E/R,CBS,N/A,tt0086704,3,16
The Old Man,FX,N/A,tt5645432,3,16
We Are Lady Parts,,All 4,tt10846104,3,16
Pushing Daisies,ABC,N/A,tt0925266,3,15
In America,OCS City,N/A,tt3495080,3,15
Our Flag Means Death,,HBO Max,tt11000902,3,14
Mad Men,AMC,N/A,tt0804503,3,13
Animal Kingdom,ITV,N/A,tt4256606,3,13
Connected,,Netflix,tt12753692,3,13
The Good Fight,,Paramount+,tt5853176,3,13
DNA,ARTE,N/A,tt9472282,3,13
Animal,,Netflix,tt15674216,3,13
ReBoot,YTV,N/A,tt0108903,3,12
Keys,,Brat,tt7198836,3,12
Reboot,,Hulu,tt15180134,3,12
Smith,CBS,N/A,tt0805667,3,11
Norm,ABC,N/A,tt0181935,3,11
The Edge,FOX,N/A,tt0103407,3,11
The Undoing,HBO,N/A,tt8134470,3,11
On the Edge,Channel 4,N/A,tt8852990,3,11
The White Lotus,HBO,N/A,tt13406094,3,11
Gaslit,STARZ,N/A,tt11834592,3,11
12,Первый канал,N/A,tt4370302,3,11
Privileged,The CW,N/A,tt1197567,3,10
This Is Us,NBC,N/A,tt5555260,3,10
Atypical,,Netflix,tt6315640,3,10
Preach,Lifetime,N/A,tt4662374,3,10
Paris,ARTE,N/A,tt2943406,3,10
Justified,FX,N/A,tt1489428,3,9
Raising Hope,FOX,N/A,tt1615919,3,9
Beyond,FreeForm,N/A,tt5174766,3,9
Suspense,BBC One,N/A,tt0396378,3,9
Trust,BBC One,N/A,tt0328799,3,9
Borderline,,Prime Video,tt3314242,3,9
Item,MBC,N/A,tt9278396,3,9
Go On,NBC,N/A,tt2300923,3,8
Noir,TV Tokyo,N/A,tt0294154,3,8
The Chi,Showtime,N/A,tt6294706,3,8
Brothers,Showtime,N/A,tt0086677,3,7
Badass,Playboy TV,N/A,tt1748662,3,7
Utopia,,Prime Video,tt8303474,3,6
His Dark Materials,BBC One,N/A,tt5607976,3,6
Hack,CBS,N/A,tt0320022,3,6
Hacks,,HBO Max,tt11815682,3,6
Modern Family,ABC,N/A,tt1442437,3,5
TBH,Czechoslovak Television,N/A,tt15714606,3,5
The Crown,,Netflix,tt4786824,3,4
Mani,,Brat,tt7365596,3,4
Lust,,HBO Max,tt17550758,3,3
Fortuna,NRK1,N/A,tt0106002,3,2
In the House,UPN,N/A,tt0112015,3,1
Queen,,MX Player,tt11393148,3,1
Chemistry,Cinemax,N/A,tt1886866,2,44
Vice Principals,HBO,N/A,tt3766376,2,40
Iris,NPO 1,N/A,tt0280778,2,36
IRIS,KBS2,N/A,tt1757202,2,36
Marie,NBC,N/A,tt0080241,2,35
Psi,HBO Latin America,N/A,tt3637900,2,31
The Business,IFC,N/A,tt0825695,2,30
The Son,HBO,N/A,tt2518876,2,30
Five Days,BBC One,N/A,tt0840094,2,30
Five,Fuji TV,N/A,tt7080092,2,30
Five Days at Memorial,,Apple TV+,tt3283594,2,30
Get Back,BBC One,N/A,tt0103424,2,29
The Stand,,Paramount+,tt1831804,2,28
Halt and Catch Fire,AMC,N/A,tt2543312,2,27
Andor,,Disney+,tt9253284,2,25
Unbelievable,,Netflix,tt7909970,2,23
SIX,History,N/A,tt5541338,2,22
Split,,Prime Video,tt7017420,2,22
Star Trek: Lower Decks,,Paramount+,tt9184820,2,22
Six,,Hoichoi,tt7923680,2,22
The Other Two,,HBO Max,tt8310612,2,19
Train,OCN,N/A,tt11827694,2,19
Growing Up,,Disney+,tt18069908,2,19
The Mentalist,CBS,N/A,tt1196946,2,18
The Event,,HBO Max,tt11716294,2,18
A League of Their Own,,Prime Video,tt8226360,2,18
MAID,,Netflix,tt11337908,2,18
Touch,FOX,N/A,tt1821681,2,17
My Name is Earl,NBC,N/A,tt0460091,2,17
Cain,France 2,N/A,tt2364258,2,17
Watcher,OCN,N/A,tt10405674,2,17
The Walking Dead,,AMC+,tt1520211,2,16
Stella,Comedy Central,N/A,tt0443409,2,16
Ghost,SBS,N/A,tt2398172,2,16
Nowa,TVP2,N/A,tt1705085,2,16
Massive,BBC Three,N/A,tt1265608,2,16
Toon,,KPN Presenteert,tt5698140,2,16
American Gods,STARZ,N/A,tt1898069,2,15
Justice,ITV,N/A,tt0068090,2,15
LOVER,DR3,N/A,tt13446536,2,15
Love Me,,Binge,tt15233564,2,15
Sign,TV Asahi,N/A,tt11322530,2,14
MINDHUNTER,,Netflix,tt5290382,2,14
Babies,,Netflix,tt11744632,2,14
Irma Vep,HBO,N/A,tt13649314,2,14
Priest,OCN,N/A,tt9130526,2,13
Delhi Crime,,Netflix,tt9398466,2,13
True Story,,Netflix,tt13655456,2,13
This Fool,,Hulu,tt14440068,2,13
Over the Top,ABC,N/A,tt0118420,2,13
Sunday,See,N/A,tt9460980,2,13
The Middle,ABC,N/A,tt1442464,2,12
