,mentions,score,streaming,network
Trop,3,24,ICI Tou.tv,
Prodigy,3,24,Quibi,
The Good Wife,1,24,N/A,tvN
Maids,1,24,N/A,jTBC
The Good Fight,1,24,Paramount+,
Real Country,1,24,N/A,USA Network
Chloe,1,24,BBC iPlayer,
Addict,1,24,N/A,TF1
Motherland,5,23,BBC iPlayer,
Touch,4,23,N/A,FOX
Rush,5,22,N/A,Network 10
College,4,22,N/A,Italia 1
Doubt,3,22,N/A,CBS
Five,3,22,N/A,Fuji TV
All Over the Place,2,22,N/A,CBBC
Baki,2,22,Netflix,
Justice,1,22,N/A,ITV
RePlay,1,22,go90,
Cowboys,1,22,N/A,ITV
Factory,1,22,N/A,Paramount Network
Missions,1,22,N/A,OCS City
Soldier,1,22,N/A,MBC
Remix,1,22,N/A,Star Bharat
Unexplained,1,22,N/A,Channel 4
Vengeance,1,22,N/A,HLN
Petra,1,22,N/A,Sky Uno
Traveler,5,21,N/A,jTBC
Travelers,5,21,Netflix,
Space,3,21,N/A,CBS
The Class,2,21,N/A,CBS
JONAS,1,21,N/A,Disney Channel
Smith,1,21,N/A,CBS
Identity,1,21,N/A,ITV
Monster,1,21,N/A,NRK1
Holy Shit,1,21,Prime Video,
Reign,6,20,N/A,The CW
ReBoot,6,20,N/A,YTV
Voice,6,20,N/A,OCN
Reboot,6,20,Hulu,
Cross,5,20,Prime Video,
Peacock,5,20,BBC iPlayer,
Power,4,20,N/A,STARZ
Better Call Saul,3,20,N/A,AMC
Caught,3,20,N/A,CBC
Amazon,4,19,N/A,Syndication
Rita,3,19,N/A,TV2
Case,3,19,N/A,Stöð 2
Dogs,3,19,Netflix,
Reservation Dogs,3,19,Hulu,
Luther,2,19,N/A,TF1
Triangle,7,18,N/A,BBC One
Rome,5,18,N/A,HBO
The Loop,3,18,N/A,FOX
Coast,3,18,N/A,BBC Two
Brot,3,18,N/A,Ríkisútvarpið
Extra,2,18,N/A,Syndication
Schitt's Creek,2,18,N/A,CBC
The Plot Against America,2,18,N/A,HBO
So Help Me Todd,2,18,N/A,CBS
Motive,1,18,N/A,CTV
The Village,1,18,N/A,ITV
Stoked,1,18,N/A,Teletoon
Lore,5,17,Prime Video,
Agent,4,17,Netflix,
Sort Of,4,17,CBC Gem,
Cunk on Earth,4,17,BBC iPlayer,
Genius,3,17,N/A,National Geographic Channel
Corporate,3,17,N/A,Comedy Central
Supernatural,2,17,N/A,BBC One
Hidden,2,17,N/A,BBC One
Obsessed,2,17,N/A,A&E
Cane,1,17,N/A,CBS
Chernobyl,1,17,N/A,HBO
Arcane,1,17,Netflix,
Ghost,3,16,N/A,SBS
American Horror Story,2,16,N/A,FX
Believe,2,16,N/A,NBC
Community,2,16,Yahoo! View,
Big Fan,2,16,N/A,ABC
Veep,1,16,N/A,HBO
Tripped,1,16,N/A,E4
Radar,1,16,N/A,NPO 1
The Crew,1,16,N/A,FOX
1883,1,16,Paramount+,
On Air,1,16,N/A,SBS
Murder,5,15,N/A,BBC Two
High School,3,15,Amazon Freevee,
Norm,2,15,N/A,ABC
My Girl,2,15,Youku,
Down to Earth,2,15,N/A,BBC One
Naruto,5,14,Crunchyroll,TV Tokyo
The Scene,5,14,YouTube,
Ramy,4,14,Hulu,
Angel,3,14,N/A,CBS
Monster: The Jeffrey Dahmer Story,3,14,Netflix,
Kingdom,2,14,N/A,Mnet
Hack,2,14,N/A,CBS
ADDA,2,14,N/A,Telefe
"Pepsi, Where's My Jet?",2,14,Netflix,
Misteri,1,14,N/A,Rai 2
Monk,3,13,N/A,USA Network
The Watch,3,13,N/A,BBC America
Monkey,3,13,N/A,NTV
Strange,3,13,N/A,BBC One
The Dropout,3,13,Hulu,
Banshee,2,13,N/A,Cinemax
Going Forward,2,13,N/A,BBC Four
Killing Eve,2,13,AMC+,
The Patient,2,13,Hulu,
Bones,1,13,N/A,FOX
Cops,1,13,N/A,Paramount Network
Amazing Stories,1,13,Apple TV+,
Documentary Now!,1,13,AMC+,IFC
David,1,13,N/A,TNT
Victoria,1,13,N/A,Telemundo
So Little Time,1,13,N/A,FreeForm
Bombshell,1,13,N/A,ITV
The Handmaid's Tale,1,13,Hulu,
In Depth,1,13,N/A,C-SPAN2
The Great North,1,13,N/A,FOX
The Mysterious Benedict Society,1,13,N/A,Disney Channel
The Mosquito Coast,1,13,Apple TV+,
The Cell,1,13,STUDIO+,
Menace,1,13,N/A,Channel 5
Trom,1,13,N/A,KVF
On Location,1,13,N/A,HBO
Divine,1,13,YouTube,
True Detective,4,12,N/A,HBO
Friends,4,12,N/A,ABC
Money,4,12,N/A,BBC Two
With You,4,12,iQIYI,
Prison Break,3,12,N/A,FOX
Blood,3,12,N/A,Virgin Media One
The Quest,3,12,N/A,NBC
Chance,3,12,Hulu,
Chef,3,12,N/A,Fuji TV
William,3,12,N/A,BBC One
Yellowjackets,3,12,N/A,Showtime
Malcolm in the Middle,2,12,N/A,FOX
Heist,2,12,Netflix,
The Queen,2,12,N/A,Channel 4
Stranger,2,12,N/A,tvN
Sketch,2,12,N/A,jTBC
Somebody,2,12,N/A,Mnet
Endless,2,12,Snapchat,
Siblings,1,12,N/A,BBC Three
The Shift,1,12,N/A,Investigation Discovery
The Case,1,12,N/A,BBC One
The Sister,1,12,N/A,ITV
Black Bird,1,12,Apple TV+,
Itch,6,11,N/A,ABC ME
Bleach,4,11,Crunchyroll,TV Tokyo
Human,4,11,Disney+ Hotstar,
Gravity Falls,3,11,N/A,Disney XD
Soap,3,11,N/A,ABC
Gravity,3,11,N/A,STARZ
The Family,3,11,Netflix,
Minx,3,11,HBO Max,
Echo,3,11,Disney+,
Punk,2,11,N/A,EPIX
Industry,2,11,HBO Max,
exception,2,11,Netflix,
Survivor,1,11,N/A,ΣΚΑΪ Τηλεόραση
The Sopranos,1,11,N/A,HBO
Big Brother,1,11,N/A,Nine Network
Running Man,1,11,N/A,SBS
The Winner,1,11,N/A,FOX
Rounds,1,11,Blackpills,
Choose,1,11,N/A,One31
Upright,5,10,Binge,
Epic,4,10,N/A,Destination America
Spencer,3,10,N/A,NBC
Undone,3,10,Prime Video,
Zero,3,10,Netflix,
Peaky Blinders,2,10,N/A,BBC One
Dead Like Me,2,10,N/A,Showtime
