name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Rita,N/A,TV2,5,3,42,-3,0,0,49,7,0,,257,23,1
Amazon,N/A,Syndication,5,5,42,42,0,0,145,125,7,,950,833,1
rage,N/A,ABC,5,4,40,38,0,0,110,69,1,17-04-2023,554,400,1
Money,N/A,BBC Two,5,5,40,40,0,0,56,48,0,,324,284,1
For All Mankind,Apple TV+,,5,5,39,39,0,0,58,35,1,,380,263,1
The Diplomat,Netflix,,5,5,38,38,0,0,7,7,0,,50,50,1
Dude,Prime Video,,5,5,38,38,0,0,62,39,0,,334,207,1
Mrs. Davis,Peacock,,5,5,36,36,0,0,6,6,0,,45,45,1
Chemistry,N/A,Cinemax,5,4,31,27,0,0,63,57,0,,336,315,1
Class of '07,Prime Video,,5,1,30,13,0,0,38,8,2,,428,165,8
The Watch,N/A,BBC America,5,3,29,25,0,0,45,27,0,,266,176,1
Sisters,N/A,Network 10,5,5,29,29,0,0,82,59,1,,591,432,1
Random,YouTube,,5,4,29,14,0,0,69,42,0,,252,148,1
Blue,Hulu,,5,4,27,25,0,0,50,33,0,,263,171,1
Sweet Tooth,Netflix,,5,5,26,26,0,0,8,8,0,,45,45,1
Anna,N/A,Sky Atlantic,5,4,26,19,0,0,70,51,0,,480,354,1
Band of Brothers,N/A,HBO,5,5,24,24,0,0,42,38,0,,216,192,1
Zero,Netflix,,5,5,24,24,0,0,53,41,0,,308,258,1
Over the Top,N/A,ABC,5,5,24,24,0,0,42,37,0,,231,222,1
Mars,N/A,GTV,5,3,23,9,0,0,33,16,0,,164,56,1
MARS,N/A,National Geographic Channel,5,3,23,9,0,0,33,16,0,,164,56,1
Superstore,N/A,NBC,5,5,22,22,0,0,47,44,0,,184,173,1
Gate,N/A,Tokyo MX,5,2,22,8,0,0,50,31,0,,269,151,1
Blood,N/A,Virgin Media One,5,5,22,22,0,0,87,58,3,,477,226,1
Dogs,Netflix,,5,4,21,17,0,0,75,59,1,,432,358,1
Psych,N/A,USA Network,5,0,17,0,0,0,70,8,0,,383,42,1
Sold,N/A,ITV1,5,3,17,4,0,0,47,32,0,,299,194,1
Amsterdam,HBO Max,,5,5,17,17,0,0,17,14,0,,48,41,1
The Others,N/A,NBC,5,5,14,14,0,0,28,27,0,,93,79,1
Mood,BBC iPlayer,,5,4,14,12,0,0,44,34,0,,209,181,1
Aspe,N/A,VTM,5,0,13,0,0,0,74,0,0,,392,0,1
Gone,N/A,Investigation Discovery,5,5,12,12,0,0,61,51,0,,277,256,1
Yellowstone,N/A,Paramount Network,5,5,11,11,0,0,81,44,2,,324,176,1
The Middle,N/A,ABC,5,4,5,4,0,0,78,65,0,,478,378,1
The Great,Hulu,,5,2,0,4,0,0,99,44,2,,413,210,1
