name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Hunters,Prime Video,,5,21,0,0,5,0,,21,1
Popular,N/A,The WB,5,18,0,0,12,0,,48,1
Kept,N/A,VH1,5,18,0,0,7,0,,30,1
Move,Netflix,,5,16,0,0,17,0,06-01-2023,63,1
Alien,N/A,FX,5,16,0,0,8,0,,33,1
The One,Netflix,,5,14,0,0,12,0,,56,1
The Premise,Hulu,,5,13,0,0,9,0,,37,1
The Resident,N/A,FOX,5,12,0,0,5,0,,12,1
Gran,N/A,BBC One,5,12,0,0,6,0,,17,1
STEVE,N/A,Syndication,5,11,0,0,7,0,,21,1
Clone,N/A,BBC Three,5,10,0,0,5,0,,10,1
