name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Bull,N/A,CBS,5,1,21,1,0,0,8,1,0,,37,1,1
Five,N/A,Fuji TV,5,4,21,19,0,0,15,4,0,,53,19,1
Baby,Netflix,,5,2,21,5,0,0,13,2,0,,54,5,1
Sent,N/A,HBO Asia,5,2,20,5,0,0,32,2,0,14-01-2023,172,5,1
Search,N/A,OCN,5,4,18,16,0,0,13,4,0,,18,16,1
Primal,N/A,Adult Swim,5,5,18,18,0,0,8,5,0,,27,18,1
Treason,Netflix,,5,5,18,18,0,0,22,5,0,,90,18,1
Huge,N/A,FreeForm,5,4,17,15,0,0,12,4,0,,38,15,1
Human,Disney+ Hotstar,,5,2,17,3,0,0,12,2,0,,64,3,1
Push,N/A,ABC,5,2,17,6,0,0,8,2,0,,26,6,1
Elementary,N/A,CBS,5,5,15,15,0,0,13,5,0,,98,15,1
Dude,Prime Video,,5,2,15,7,0,0,18,2,0,,87,7,1
Cross,Prime Video,,5,3,14,8,0,0,19,3,0,,51,8,1
Star Trek,N/A,NBC,5,5,12,12,0,0,15,5,0,,46,12,1
Lore,Prime Video,,5,5,11,11,0,0,12,5,0,,43,11,1
Will Trent,N/A,ABC,5,5,11,11,0,0,6,5,0,,14,11,1
The Chi,N/A,Showtime,5,0,9,0,0,0,7,0,0,,16,0,1
Random,YouTube,,5,4,-4,-5,0,0,15,4,0,,48,-5,1
