name,streaming,network,mentions,score,week added,largest week,largest week amt
Patriot,Prime Video,,164,936,1,49,19
Vikings,N/A,BBC Two,164,740,1,10,31
Fringe,N/A,FOX,163,671,1,10,12
Doubt,N/A,CBS,162,788,1,31,8
Toon,KPN Presenteert,,161,863,1,7,8
Asur,Voot,,161,850,1,48,9
The Peripheral,Prime Video,,160,1341,8,42,29
Tokyo Vice,HBO Max,,158,1264,11,15,41
The Resort,Peacock,,156,1539,27,33,24
Our Flag Means Death,HBO Max,,156,1395,4,11,21
Gone,N/A,Investigation Discovery,156,965,1,6,8
Under the Banner of Heaven,Hulu,,155,1532,14,18,22
Fleabag,BBC Three,,155,986,3,34,12
Related,N/A,The WB,155,941,1,22,8
The English,BBC iPlayer,,155,759,1,43,31
The Game,Paramount+,,154,795,1,36,12
Warrior,HBO Max,,154,688,1,27,8
Mine,N/A,tvN,154,665,2,31,8
The Watch,N/A,BBC America,153,825,1,39,25
Bosch,Prime Video,,153,686,1,18,20
The Thing,N/A,NBC,153,623,2,11,8
Archive 81,Netflix,,151,1182,2,4,39
Touch,N/A,FOX,151,972,1,24,8
Julia,N/A,LBCI,151,960,1,14,16
The Office,Shahid,,151,738,2,2,10
Soundtrack,Netflix,,150,1261,1,31,8
Taken,N/A,NBC,150,950,1,2,6
River,N/A,BBC One,150,693,1,45,12
Servant,Apple TV+,,149,864,1,10,12
Dive,N/A,BBC Two,149,847,1,33,10
Skin,N/A,FOX,149,527,1,6,8
Beyond,N/A,FreeForm,148,791,2,17,9
Angel,N/A,CBS,148,693,1,3,15
Blue,Hulu,,148,525,1,26,9
Midnight Mass,Netflix,,147,1041,1,38,14
Outer Range,Prime Video,,147,852,14,16,42
The Capture,BBC iPlayer,,147,796,2,34,20
Gomorra,N/A,Sky Atlantic,146,722,1,2,12
Mare of Easttown,N/A,HBO,145,784,1,3,12
Massive,N/A,BBC Three,145,714,2,50,7
The After,Prime Video,,144,1065,2,10,22
Chemistry,N/A,Cinemax,144,992,3,21,8
Pantheon,AMC+,,144,923,13,36,20
Black Mirror,Netflix,,144,772,1,11,11
The Good Place,N/A,NBC,144,644,1,7,8
Chuck,N/A,NBC,144,623,1,36,10
College,N/A,Italia 1,142,1114,1,45,12
Bert,N/A,SVT1,142,740,1,24,10
Mood,BBC iPlayer,,142,691,1,4,8
Thea,N/A,ABC,142,672,1,3,9
MINDHUNTER,Netflix,,141,873,1,20,8
New World,Netflix,,141,873,6,16,21
Monkey,N/A,NTV,141,715,1,10,14
The Last Kingdom,Netflix,,141,650,1,10,13
All That,N/A,Nickelodeon,141,564,1,29,7
Umbre,HBO Go,,140,833,2,24,26
Person of Interest,N/A,CBS,140,688,1,37,10
Luck,N/A,HBO,140,620,1,1,5
Resident Alien,N/A,Syfy,139,862,1,3,11
Grand,N/A,NBC,139,628,1,32,10
Dopesick,Hulu,,138,947,1,1,10
Six Feet Under,N/A,HBO,138,753,1,5,8
MAID,Netflix,,137,884,1,35,17
Tommy,N/A,CBS,136,875,3,6,20
Pure,N/A,Channel 4,136,736,1,30,7
Foundation,Apple TV+,,136,496,1,3,11
Chef,N/A,Fuji TV,135,949,1,23,18
Somebody,N/A,Mnet,135,933,3,3,9
Shining Girls,Apple TV+,,135,741,13,19,17
Ghosts,N/A,CBS,135,711,1,41,11
The Walking Dead,AMC+,,134,677,1,45,9
Mythic Quest,Apple TV+,,132,704,1,50,9
Gate,N/A,Tokyo MX,132,703,1,44,9
Wanna,Netflix,,132,612,1,3,10
The Devil,N/A,KBS2,131,920,1,42,24
Ares,Netflix,,131,804,1,4,10
Eyes,N/A,ABC,130,840,1,12,8
Heroes,N/A,CCTV-8,130,785,1,43,10
The Case,N/A,BBC One,130,592,1,21,7
Veep,N/A,HBO,129,683,1,24,11
Hannibal,N/A,NBC,129,678,1,7,8
Holy Shit,Prime Video,,128,1561,1,4,7
Bang,N/A,S4C,128,815,1,7,7
Keys,Brat,,128,679,4,10,10
Trust,N/A,BBC One,128,529,1,36,7
The Orville,Hulu,,127,600,3,20,14
Castle,N/A,ABC,127,444,1,21,10
Big Fan,N/A,ABC,126,715,1,20,8
Over the Top,N/A,ABC,126,701,1,6,10
The Gilded Age,N/A,HBO,125,1031,1,12,14
Mike,Hulu,,125,824,1,47,9
New Worlds,N/A,Channel 4,125,815,12,16,19
Toma,N/A,ABC,124,547,1,8,6
The Dropout,Hulu,,123,651,9,15,21
Suspense,N/A,BBC One,123,645,1,3,7
High School,Amazon Freevee,,122,659,2,6,7
Mayo,N/A,BBC One,120,670,1,2,19
Addict,N/A,TF1,119,885,1,6,5
Crash,N/A,STARZ,119,807,1,12,14
Interview with the Vampire,AMC+,,118,1681,33,42,20
Sold,N/A,ITV1,118,810,1,21,7
Monster,N/A,NRK1,118,646,1,28,8
The Shield,N/A,FX,118,551,1,36,10
Players,Paramount+,,117,826,2,22,13
Rogue,N/A,Audience Network,117,694,3,43,14
Traveler,N/A,jTBC,117,643,4,22,12
Agent,Netflix,,117,591,1,14,5
Click,N/A,BBC News,116,485,1,3,8
exception,Netflix,,115,681,1,33,6
The Family,Netflix,,115,503,2,43,11
Physical,Apple TV+,,114,668,2,20,8
Killing Eve,AMC+,,114,648,2,10,10
Industry,HBO Max,,114,634,4,29,12
Icon,N/A,Hallmark Channel,114,626,1,11,6
Bull,N/A,CBS,114,493,1,32,8
Survivor,N/A,ΣΚΑΪ Τηλεόραση,113,659,1,4,8
12 Monkeys,N/A,Syfy,112,614,4,10,10
Halt and Catch Fire,N/A,AMC,110,878,1,36,8
Primal,N/A,Adult Swim,110,842,1,35,14
Twin Peaks,N/A,Showtime,110,597,1,16,12
Reign,N/A,The CW,110,481,1,1,11
Rita,N/A,TV2,110,412,1,1,7
Punk,N/A,EPIX,109,870,3,35,20
Radar,N/A,NPO 1,109,807,1,27,6
Justice,N/A,ITV1,109,529,1,10,12
Martin,N/A,FOX,108,781,1,24,8
Peaking,Red Bull TV,,108,580,1,1,7
The Afterparty,Apple TV+,,106,742,4,10,21
Parents,N/A,Sky Showcase,106,636,1,14,8
Critical,N/A,Sky Showcase,106,466,4,29,9
Broadchurch,N/A,ITV1,106,434,1,6,7
Genius,N/A,National Geographic Channel,105,795,1,3,6
The House,Netflix,,104,829,2,5,15
Sunny,Apple TV+,,104,486,1,7,10
Cheer,Netflix,,104,425,1,4,8
The Righteous Gemstones,N/A,HBO,103,983,1,9,12
Upload,Prime Video,,103,646,2,11,23
Threads,go90,,102,722,1,32,10
Nature,N/A,PBS,102,651,3,43,6
Dickinson,Apple TV+,,102,387,1,10,6
Legit,N/A,BBC One,101,526,1,35,7
Younger,Paramount+,,101,506,2,42,7
Alif,N/A,Geo Entertainment,101,465,2,22,7
Marc,N/A,ITV1,101,436,1,11,6
Orphan Black,N/A,Fuji TV,101,413,1,20,10
Devs,Hulu,,100,549,3,14,10
The Crown,Netflix,,100,522,1,43,16
Feel Good,Netflix,,100,466,1,1,7
Monster: The Jeffrey Dahmer Story,Netflix,,99,723,2,37,26
The Staircase,HBO Max,,98,718,6,16,21
The Tourist,BBC iPlayer,,98,542,1,2,12
Good Job,N/A,ENA,98,540,1,20,9
Problems,N/A,ABC,98,499,1,49,6
Broke,N/A,CBS,98,492,1,6,6
Friday Night Lights,N/A,NBC,98,371,3,17,6
Narcos,Netflix,,98,307,1,32,14
Derry Girls,N/A,Channel 4,96,615,1,16,7
Band of Brothers,N/A,HBO,96,573,1,3,7
Driven,PassionFlix,,96,569,1,32,8
Invincible,Prime Video,,96,556,1,34,8
Becoming,Disney+,,96,550,1,39,7
Search Party,HBO Max,,96,504,1,2,16
Island,TVING,,96,496,1,17,8
True Story,Netflix,,95,765,1,14,6
Mayor of Kingstown,Paramount+,,95,546,1,2,16
Equal,HBO Max,,95,543,1,2,5
Guilt,BBC iPlayer,,95,485,1,28,5
The Witcher,Netflix,,95,477,1,1,21
The Others,N/A,NBC,95,255,1,11,6
My Brilliant Friend,N/A,Rai 1,94,652,5,12,12
Faith,N/A,ITV1,94,540,2,6,7
Superstore,N/A,NBC,94,419,1,7,14
Rick and Morty,N/A,Adult Swim,93,538,4,36,12
Casual,Hulu,,93,532,1,7,8
Strike,BBC iPlayer,,93,473,1,7,9
Animal,Netflix,,93,427,1,28,6
Happy Valley,N/A,BBC One,93,384,2,16,8
Suits,N/A,Fuji TV,93,291,1,17,9
Minx,HBO Max,,92,759,11,15,20
Stella,N/A,Comedy Central,92,617,2,16,4
Sharp Objects,N/A,HBO,92,539,2,42,8
Star Trek: Picard,Paramount+,,92,402,5,16,11
Billions,N/A,Showtime,92,393,1,10,9
Torn,N/A,ITV1,91,807,1,33,7
Pam & Tommy,Hulu,,91,659,4,6,17
Boardwalk Empire,N/A,HBO,91,541,1,38,8
Switch,N/A,ITV2,91,457,1,17,5
Heist,Netflix,,91,441,1,6,11
Tehran,Apple TV+,,91,423,2,22,13
Legion,N/A,FX,91,417,2,37,8
Cyberpunk: Edgerunners,Netflix,,90,729,8,35,20
Attack on Titan,N/A,NHK,90,614,1,6,9
Snowfall,N/A,FX,90,496,1,7,11
Nathan for You,N/A,Comedy Central,89,781,2,26,16
Killing It,Peacock,,89,767,1,15,9
Watchmen,N/A,HBO,89,530,1,36,7
Safe,Netflix,,89,494,1,19,6
Go On,N/A,NBC,88,527,1,47,7
Terror,N/A,Viceland,88,450,1,3,10
Regret,Shahid,,88,433,1,22,5
Split,Prime Video,,88,424,1,15,4
Forgotten,N/A,ITV1,88,424,2,33,5
The Bureau,N/A,Investigation Discovery,88,374,1,23,9
Alice,N/A,SBS,87,593,2,49,20
Seinfeld,N/A,NBC,87,550,2,2,10
All Around,Olympic Channel,,86,649,5,8,5
William,N/A,BBC One,86,514,1,11,7
The Offer,Paramount+,,86,487,16,21,10
The Movies,N/A,CNN,86,428,1,33,11
Forever,Netflix,,86,410,2,15,6
Cold,go90,,86,403,2,31,7
Producer,N/A,KBS2,86,402,1,11,5
Utopia,Prime Video,,86,298,3,29,10
Sunday,N/A,See,85,598,1,42,5
Punch,N/A,SBS,85,511,1,6,7
ALEX,Viaplay,,85,407,2,9,5
Line of Duty,N/A,BBC One,85,269,1,43,7
Watcher,N/A,OCN,84,510,1,39,22
Bust,N/A,ITV1,84,470,1,42,11
The Other Two,HBO Max,,84,423,1,2,8
Unbelievable,Netflix,,83,619,1,24,5
This is Going to Hurt,BBC iPlayer,,83,489,6,8,6
The View,N/A,ABC,83,427,1,2,4
Solved,N/A,Investigation Discovery,83,392,1,4,5
Mars,N/A,GTV,83,391,1,10,9
MARS,N/A,National Geographic Channel,83,391,1,10,9
UnREAL,Hulu,,82,439,1,2,5
Bad Guy,N/A,SBS,82,297,3,24,7
Paper Girls,Prime Video,,81,565,27,28,26
The Line,Apple TV+,,81,365,1,44,7
Gangs of London,Now,,81,277,1,40,16
Troy,N/A,E4,80,424,1,6,5
Wolf,N/A,CBS,80,398,1,3,9
I Quit,N/A,Discovery Channel,80,358,1,26,5
Get Back,N/A,BBC One,79,480,1,45,5
Squid Game,Netflix,,79,380,1,2,7
Sara,N/A,RTP2,79,365,2,11,4
Evolve,N/A,History,79,364,2,22,6
Hollywood,Netflix,,79,346,2,21,6
Outland,N/A,ABC,79,311,4,10,14
Normal People,BBC Three,,79,275,1,17,9
Hidden,N/A,BBC One,77,379,1,38,7
