name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Gone,N/A,Investigation Discovery,6,6,18,18,0,0,131,119,0,,730,693,1
Today,N/A,NBC,6,6,16,16,0,0,198,175,3,,1280,1158,1
Target,N/A,BBC One,6,5,12,11,0,0,40,27,0,,180,123,1
Lore,Prime Video,,6,3,9,-10,0,0,124,64,0,,690,308,1
Minx,N/A,STARZ,5,4,43,35,0,0,22,19,0,,110,99,1
Jury Duty,Amazon Freevee,,5,5,41,41,0,0,52,51,0,,459,453,21
rage,N/A,ABC,5,5,36,36,0,0,223,157,5,,1090,798,1
Mr Inbetween,N/A,FX,5,3,36,10,0,0,169,86,3,,1327,614,1
The InBetween,N/A,NBC,5,4,36,28,0,0,163,124,2,,1279,1000,1
The Afterparty,Apple TV+,,5,5,33,33,0,0,63,58,2,05-08-2023,449,429,1
Parents,N/A,Sky Showcase,5,5,29,29,0,0,39,31,0,,226,168,1
All In,N/A,SBS,5,4,27,25,0,0,125,91,1,,827,646,1
Kept,N/A,VH1,5,4,27,17,0,0,207,178,3,,1127,970,1
Dogs,Netflix,,5,5,25,25,0,0,142,114,1,,925,739,1
The White Lotus,N/A,HBO,5,5,25,25,0,0,180,141,7,,1189,957,1
Suspense,N/A,BBC One,5,2,24,4,0,0,92,64,0,,504,334,1
Bigger,BET+,,5,5,24,24,0,0,57,51,0,,368,317,1
The Murders,N/A,Citytv,5,5,23,23,0,0,104,99,0,,639,617,1
Train,N/A,OCN,5,3,23,15,0,0,98,62,0,,620,354,1
Slow Horses,Apple TV+,,5,5,22,22,0,0,207,142,5,,1605,1048,1
Rising,Hill.TV,,5,1,22,6,0,0,152,63,0,,992,331,1
Norm,N/A,ABC,5,0,21,0,0,0,206,8,3,,1158,45,1
Kirk,N/A,The WB,5,5,21,21,0,0,44,40,0,,291,264,1
Friends,N/A,ABC,5,4,19,18,0,0,197,146,3,,1097,734,1
Sign,N/A,TV Asahi,5,3,19,9,0,0,184,74,4,,988,427,1
The Others,N/A,NBC,5,5,19,19,0,0,65,63,0,,216,200,1
Ramo,N/A,Show TV,5,0,19,0,0,0,120,0,0,,623,0,1
The Captain,N/A,ESPN,5,5,19,19,0,0,39,34,0,,231,191,1
All That,N/A,Nickelodeon,5,5,16,16,0,0,91,87,0,,387,372,1
Believe,N/A,NBC,5,5,15,15,0,0,245,213,9,,1130,990,1
Deadloch,Prime Video,,5,5,15,15,0,0,28,27,0,,192,180,25
Homeland,N/A,Showtime,5,3,14,7,0,0,95,68,2,,442,303,1
Cult,N/A,The CW,5,3,14,9,0,0,183,84,1,,1073,530,1
With You,iQIYI,,5,4,14,7,0,0,124,79,1,,407,225,1
Psych,N/A,USA Network,5,3,13,6,0,0,152,37,1,,731,142,1
This Fool,Hulu,,5,4,13,13,0,0,33,30,1,05-08-2023,211,200,1
Played,N/A,CTV,5,5,11,11,0,0,218,203,6,,1253,1131,1
Industry,Max,,5,4,9,7,0,0,48,45,0,,278,269,1
Reacher,Prime Video,,5,5,8,8,0,0,90,78,0,,520,478,1
The Middle,N/A,ABC,5,4,5,4,0,0,150,135,0,,896,786,1
Chance,Hulu,,5,5,5,5,0,0,205,172,7,,1038,901,1
