name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Random,YouTube,,5,5,25,25,0,0,118,78,0,,507,294,1
Taken,N/A,NBC,5,5,24,24,0,0,69,65,0,,280,265,1
The Murders,N/A,Citytv,5,4,24,21,0,0,91,86,0,,554,532,1
Community,Yahoo! View,,5,5,22,22,0,0,95,85,0,,441,396,1
Sent,N/A,HBO Asia,5,2,21,5,0,0,272,104,9,,1499,622,1
Voice,N/A,OCN,5,4,19,15,0,0,98,74,0,,475,356,1
The Patient,Hulu,,5,4,19,11,0,0,59,35,0,,337,170,1
Bad Sisters,Apple TV+,,5,4,19,16,0,0,105,77,1,,722,549,1
Blind,TVING,tvN,5,2,19,14,0,0,130,44,3,,783,366,1
Catastrophe,N/A,Super Écran,5,5,16,16,0,0,35,33,0,,162,150,1
GOLD,N/A,Fuji TV,5,3,16,8,0,0,134,44,1,,886,323,1
100%,N/A,Channel 5,5,4,13,12,0,0,96,85,0,,536,502,1
Trap,N/A,OCN,5,2,13,5,0,0,82,11,3,,483,10,1
The Last Kingdom,Netflix,,5,3,12,6,0,0,48,40,0,,264,240,1
The Leftovers,N/A,HBO,5,5,7,7,0,0,253,225,8,,1389,1236,1
