,mentions,score,network,streaming
Jinn,2,19,,Netflix
Disappearance,2,19,DMC,N/A
I Quit,2,18,Discovery Channel,N/A
The Following,2,17,FOX,N/A
Community,2,17,,YAHOO! View
Fleabag,2,17,,BBC Three
Devilman,2,17,TV Tokyo,N/A
Akudama Drive,2,17,AT-X,N/A
We Own This City,2,17,HBO,N/A
Truth,2,17,,Youku
The X-Files,2,16,FOX,N/A
Camp,2,16,NBC,N/A
Gravity,2,16,STARZ,N/A
Hard Time,2,16,National Geographic Channel,N/A
Memory,2,16,tvN,N/A
The Good Fight,2,16,,Paramount+
Asur,2,16,,Voot
Survivor,2,15,ΣΚΑΪ Τηλεόραση,N/A
The City,2,15,MTV,N/A
Great Performances,2,15,PBS,N/A
Kim's Convenience,2,15,CBC,N/A
Love Story,2,15,NBC,N/A
Nox,2,15,Canal+,N/A
1899,2,15,,Netflix
WandaVision,2,15,,Disney+
Normal People,2,15,,BBC Three
The Good Wife,2,14,tvN,N/A
Click,2,14,BBC News,N/A
Get Back,2,14,BBC One,N/A
Walker,2,14,The CW,N/A
Train,2,14,OCN,N/A
The Ipcress File,2,14,,ITV Hub
Crime Scene,2,14,,Netflix
Queen,2,14,,MX Player
Shameless,2,13,Channel 4,N/A
Killing Eve,2,13,,AMC+
The Wheel,2,13,BBC One,N/A
Mythic Quest,2,13,,Apple TV+
Stalk,2,13,,France tv slash
Buddi,2,13,,Netflix
Suspect,2,13,Channel 4,N/A
Love Me,2,13,,Binge
Extras,2,12,BBC Two,N/A
His Dark Materials,2,12,BBC One,N/A
Split,2,12,,Prime Video
Solved,2,12,Investigation Discovery,N/A
Little Women,2,12,BBC One,N/A
Badass,2,12,Playboy TV,N/A
Twin,2,12,,NRK TV
GTO,2,12,Fuji TV,N/A
Washington,2,12,History,N/A
Human,2,12,,Disney+ Hotstar
The King,2,12,Sky Atlantic,N/A
Redemption,2,12,Virgin Media One,N/A
The Mentalist,2,11,CBS,N/A
The Shield,2,11,FX,N/A
The Edge,2,11,FOX,N/A
The Victim,2,11,BBC One,N/A
On the Edge,2,11,Channel 4,N/A
Mike,2,11,,Hulu
Penny Dreadful,2,10,Showtime,N/A
Outlander,2,10,STARZ,N/A
Trauma,2,10,ICI Radio-Canada Télé,N/A
The Word,2,10,CBS,N/A
Prisoner,2,10,Network 10,N/A
Rovers,2,10,Sky Showcase,N/A
Suspense,2,10,BBC One,N/A
Beck,2,10,TV4,N/A
29,2,10,See,N/A
Christian,2,10,Sky Cinema,Now
Arrested Development,2,9,,Netflix
Detectorists,2,9,BBC Four,N/A
Counterpart,2,9,STARZ,N/A
Signal,2,9,,Tencent QQ
RPA,2,9,Nine Network,N/A
Cold,2,9,,go90
City on a Hill,2,9,Showtime,N/A
Undone,2,9,,Prime Video
Kept,2,9,VH1,N/A
The Movies,2,9,CNN,N/A
Agent,2,9,,Netflix
Monarch,2,9,FOX,N/A
Once Upon a Time,2,8,ABC,N/A
Rectify,2,8,Sundance TV,N/A
Doubt,2,8,CBS,N/A
Unforgotten,2,8,ITV,N/A
Flo,2,8,CBS,N/A
The Son,2,8,HBO,N/A
Forgotten,2,8,ITV,N/A
Little Demon,2,8,FXX,N/A
1883,2,8,,Paramount+
Batman,2,7,ABC,N/A
Steven Universe,2,7,Cartoon Network,N/A
FM,2,7,NBC,N/A
Liar,2,7,ITV,N/A
Julia,2,7,LBCI,N/A
The Detail,2,7,CTV,N/A
College,2,7,Italia 1,N/A
Adult Material,2,7,,All 4
Girl from Nowhere,2,7,,Netflix
Viewpoint,2,7,ITV,N/A
40,2,7,Channel 4,N/A
LOVER,2,7,DR3,N/A
Bling,2,7,ITV,N/A
Intelligence,2,6,,Sky Go
Crisis,2,6,NBC,N/A
Whites,2,6,BBC Two,N/A
Cucumber,2,6,Channel 4,N/A
The Watch,2,6,BBC America,N/A
Lucifer,2,6,,Netflix
Banana,2,6,E4,N/A
Nana,2,6,NTV,N/A
The Cult,2,6,TVNZ 2,N/A
ERASED,2,6,,Netflix
The Grand Tour,2,6,,Prime Video
Prospects,2,6,Channel 4,N/A
A Very English Scandal,2,6,BBC One,N/A
Icing,2,6,MBC,N/A
Invincible,2,6,,Prime Video
The Weekly,2,6,FX,N/A
Rebel,2,6,ABC,N/A
12,2,6,Первый канал,N/A
Moonhaven,2,6,,AMC+
Bert,2,6,SVT1,N/A
Sul,2,6,RTP1,N/A
Express,2,6,,Starz Play
Revenge,2,5,ABC,N/A
Modern Family,2,5,ABC,N/A
Boardwalk Empire,2,5,HBO,N/A
Ben 10,2,5,Cartoon Network,N/A
Blue,2,5,,Hulu
Heist,2,5,,Netflix
Strike,2,5,BBC One,N/A
Simon,2,5,France 5,N/A
Brothers and Sisters,2,5,NBC,N/A
DNA,2,5,ARTE,N/A
The Thing,2,5,NBC,N/A
The Nevers,2,5,HBO,HBO Max
Somebody,2,5,Mnet,N/A
Anke,2,5,Sat.1,N/A
Death Note,2,4,NTV,N/A
The Fall,2,4,BBC Two,N/A
Gilmore Girls,2,4,The CW,N/A
Curb Your Enthusiasm,2,4,HBO,N/A
Cheers,2,4,Telecinco,N/A
Westworld,2,4,HBO,N/A
The Triangle,2,4,Syfy,N/A
The Good Place,2,4,NBC,N/A
Critical,2,4,Sky Showcase,N/A
Monsters,2,4,Syndication,N/A
Toma,2,4,ABC,N/A
Cheer,2,4,,Netflix
Years and Years,2,4,BBC One,N/A
Player,2,4,OCN,N/A
Alma,2,4,,Netflix
Vinland Saga,2,4,NHK,N/A
The Musical,2,4,SBS,N/A
Band of Brothers,2,3,HBO,N/A
Oz,2,3,HBO,N/A
Alice,2,3,SBS,N/A
Ideal,2,3,BBC Three,N/A
Brockmire,2,3,IFC,N/A
Warrior,2,3,,HBO Max
Beast,2,3,BBC One,N/A
Jan,2,3,,Hulu
Vigil,2,3,BBC One,N/A
Tunnel,2,3,,GoPlay
Woke,2,3,,Hulu
Screw,2,3,,All 4
Hack,2,2,CBS,N/A
Santa Clarita Diet,2,2,,Netflix
The Changes,2,2,BBC One,N/A
The Contender,2,2,EPIX,N/A
Legacy,2,2,UPN,N/A
Zen,2,-1,BBC One,N/A
The Middle,2,-8,ABC,N/A
The Universe,1,30,H2,N/A
Flipper,1,30,Syndication,N/A
Trap,1,30,OCN,N/A
Flip,1,30,,Eros Now
The Secret,1,24,ITV,N/A
Saving Grace,1,23,TNT,N/A
Fallen,1,23,FreeForm,N/A
Smith,1,23,CBS,N/A
Something Special,1,23,CBeebies,N/A
Explained,1,23,,Netflix
Cake,1,23,CBS,N/A
Holding,1,23,,ITV Hub
Basic Bitch,1,18,,discovery+
Home Improvement,1,17,ABC,N/A
New Blood,1,17,BBC One,N/A
Boston Legal,1,16,ABC,N/A
Jesse,1,16,NBC,N/A
Flesh,1,16,,Eros Now
Cuts,1,15,UPN,N/A
New Worlds,1,15,Channel 4,N/A
The Exorcist,1,15,FOX,N/A
Original Sin,1,15,,iQIYI
Soundtrack,1,15,,Netflix
New World,1,15,,Netflix
Cowboy Bebop,1,14,,Netflix
Wentworth,1,14,Showcase,N/A
Imposters,1,14,Bravo,N/A
Pizza,1,14,SBS,N/A
Wild Ride,1,14,MTV,N/A
Baby M,1,14,ABC,N/A
The Spa,1,13,Sky Witness,N/A
Mars,1,13,GTV,N/A
Sharp Objects,1,13,HBO,N/A
MARS,1,13,National Geographic Channel,N/A
The Investigation,1,13,,Eros Now
The Marvelous Mrs. Maisel,1,12,,Prime Video
Coming of Age,1,12,CBS,N/A
Genera+ion,1,12,,HBO Max
Wolf,1,12,BBC One,N/A
Peaky Blinders,1,11,BBC One,N/A
You're the Worst,1,11,FXX,N/A
Dates,1,11,Channel 4,N/A
Endgame,1,11,Showcase,N/A
Curiosity,1,11,Discovery Channel,N/A
Mille,1,11,DR1,N/A
Cain,1,11,France 2,N/A
Coupled,1,11,FOX,N/A
Spring,1,11,Ketnet,YouTube
Rox,1,11,Ketnet,N/A
The Wheel of Time,1,11,,Prime Video
Bloom,1,11,,Stan
Hollywood,1,11,,Netflix
Baggage,1,11,Game Show Network,N/A
The Terminal List,1,11,,Prime Video
Obi-Wan Kenobi,1,11,,Disney+
I Am Groot,1,11,,Disney+
The Book of Boba Fett,1,11,,Disney+
The Rehearsal,1,11,HBO,N/A
My Husband and I,1,11,ITV,N/A
Uncoupled,1,11,,Netflix
The Man in the High Castle,1,10,,Prime Video
Coast,1,10,BBC Two,N/A
The Principal,1,10,SBS,N/A
Twins,1,10,The WB,N/A
The Iraq War,1,10,BBC Two,N/A
The War,1,10,PBS,N/A
Pretty Wild,1,10,E!,N/A
The Commute,1,10,,YouTube
I'm Sorry,1,10,truTV,N/A
The Disappearance,1,10,CTV,N/A
Blind Date,1,10,Network 10,N/A
Wilder,1,10,SRF 1,N/A
Shaping Up,1,10,ABC,N/A
Wilderness,1,10,ITV,N/A
The Court,1,10,ABC,N/A
Z Nation,1,9,Syfy,N/A
Go On,1,9,NBC,N/A
Atlantis,1,9,BBC One,N/A
Hunted,1,9,CBS,N/A
Smash,1,9,NBC,N/A
Scrubs,1,9,ABC,N/A
Happy Endings,1,9,ABC,N/A
Kill la Kill,1,9,MBS,N/A
GREEK,1,9,FreeForm,N/A
One Piece,1,9,,Netflix
Spider-Man,1,9,TV Tokyo,N/A
Alone,1,9,History,N/A
Love/Hate,1,9,RTÉ ONE,N/A
Sydney,1,9,CBS,N/A
Falco,1,9,,Prime Video
Bull,1,9,CBS,N/A
Haunted,1,9,,Netflix
The Line,1,9,,Apple TV+
Clue,1,9,Discovery Family,N/A
Two Weeks,1,9,Fuji TV,N/A
The Haunting of Hill House,1,9,,Netflix
Signed,1,9,VH1,N/A
Happy Ending,1,9,jTBC,N/A
Black Summer,1,9,,Netflix
I Am Not Okay With This,1,9,,Netflix
Loki,1,9,,Disney+
Midnight Mass,1,9,,Netflix
Santa Inc.,1,9,,HBO Max
Romance,1,9,France 2,N/A
The Haunting of Bly Manor,1,9,,Netflix
Lingo,1,9,ITV,N/A
The White Lotus,1,9,HBO,N/A
Live On,1,9,jTBC,N/A
Marriage,1,9,,BBC iPlayer
Friends,1,8,ABC,N/A
The Mole,1,8,,Netflix
Obsessed,1,8,A&E,N/A
Press Your Luck,1,8,ABC,N/A
